date,spx_ret,ust10_chg,hy_oas,vix
2005-01-03,-0.00627,-0.032,3.5,13.86
2005-01-04,0.00355,0.072,3.5,15.85
2005-01-05,-0.00707,-0.035,3.5,13.56
2005-01-06,0.00763,-0.02,3.5,14.05
2005-01-07,0.0002,-0.045,3.5,12.95
2005-01-10,-0.00088,0.003,3.5,11.84
2005-01-11,-0.00485,-0.039,3.5,11.19
2005-01-12,0.01038,-0.017,3.5,14.9
2005-01-13,-0.00064,0.024,3.5,11.49
2005-01-14,-0.00283,-0.038,3.5,14.12
2005-01-17,-0.00222,0.022,3.5,13.62
2005-01-18,0.00486,0.023,3.5,14.38
2005-01-19,0.00352,0.032,3.5,12.23
2005-01-20,0.0039,-0.004,3.5,11.81
2005-01-21,0.00405,0.12,3.5,13.57
2005-01-24,0.01773,0.032,3.5,12.56
2005-01-25,-0.00265,0.003,3.5,11.15
2005-01-26,-0.0035,-0.045,3.5,15.91
2005-01-27,-0.00591,-0.014,3.5,11.81
2005-01-28,0.00553,0.047,3.5,11.51
2005-01-31,0.00963,0.058,3.5,12.64
2005-02-01,-0.00031,0.049,3.5,14.88
2005-02-02,-0.00612,0.021,3.5,9.75
2005-02-03,-0.006,-0.06,3.5,14.75
2005-02-04,0.0058,0.009,3.51,11.63
2005-02-07,0.00655,-0.06,3.5,13.4
2005-02-08,0.00495,-0.069,3.5,11.99
2005-02-09,-0.00472,-0.0,3.5,15.99
2005-02-10,0.00246,0.011,3.5,13.19
2005-02-11,0.00153,0.026,3.5,11.94
2005-02-14,0.00235,0.01,3.51,12.55
2005-02-15,0.00757,0.011,3.51,13.13
2005-02-16,0.00239,-0.049,3.51,13.27
2005-02-17,0.00603,-0.014,3.51,13.66
2005-02-18,0.00114,-0.07,3.5,13.0
2005-02-21,0.00291,-0.09,3.5,10.93
2005-02-22,0.00565,0.02,3.51,12.49
2005-02-23,-0.01106,-0.04,3.51,13.91
2005-02-24,-0.00196,0.025,3.51,12.0
2005-02-25,-0.00316,0.034,3.51,14.01
2005-02-28,-0.00451,-0.035,3.51,13.05
2005-03-01,-0.0016,0.014,3.51,12.67
2005-03-02,0.01256,-0.036,3.51,14.79
2005-03-03,-0.00633,-0.084,3.51,10.39
2005-03-04,0.00835,-0.005,3.51,11.99
2005-03-07,-0.01286,-0.029,3.51,14.85
2005-03-08,-0.00208,-0.028,3.51,15.75
2005-03-09,0.0019,0.069,3.51,16.43
2005-03-10,0.00529,-0.071,3.51,13.08
2005-03-11,0.00629,0.005,3.51,13.69
2005-03-14,0.00695,-0.05,3.51,14.23
2005-03-15,-0.00219,0.026,3.51,14.91
2005-03-16,-0.0031,0.002,3.51,13.47
2005-03-17,0.00746,0.005,3.51,14.39
2005-03-18,-0.00093,-0.048,3.51,13.69
2005-03-21,-0.00961,-0.041,3.51,13.78
2005-03-22,-0.00847,0.027,3.51,11.62
2005-03-23,-0.00676,0.061,3.51,12.51
2005-03-24,0.00458,0.009,3.51,12.22
2005-03-25,0.00174,-0.046,3.51,11.22
2005-03-28,0.00612,0.004,3.51,10.52
2005-03-29,-0.00282,0.087,3.51,12.36
2005-03-30,0.00187,-0.006,3.51,12.6
2005-03-31,0.0056,0.048,3.51,13.16
2005-04-01,-0.00187,-0.04,3.51,13.83
2005-04-04,0.00425,-0.012,3.51,13.28
2005-04-05,-0.0047,0.015,3.51,12.61
2005-04-06,-0.0023,0.006,3.51,11.63
2005-04-07,-0.00245,-0.041,3.51,14.32
2005-04-08,-0.00897,-0.042,3.51,12.85
